ep,reward,win
0,22.0,False
1,40.0,False
2,59.0,False
3,19.0,False
4,76.0,False
5,67.0,False
6,23.0,False
7,42.0,False
8,47.0,False
9,16.0,False
10,14.0,False
11,40.0,False
12,23.0,False
13,30.0,False
14,11.0,False
15,37.0,False
16,32.0,False
17,16.0,False
18,26.0,False
19,35.0,False
20,20.0,False
21,15.0,False
22,58.0,False
23,32.0,False
24,27.0,False
25,38.0,False
26,47.0,False
27,22.0,False
28,23.0,False
29,41.0,False
30,50.0,False
31,39.0,False
32,16.0,False
33,41.0,False
34,39.0,False
35,25.0,False
36,54.0,False
37,53.0,False
38,26.0,False
39,28.0,False
40,17.0,False
41,61.0,False
42,26.0,False
43,64.0,False
44,57.0,False
45,22.0,False
46,32.0,False
47,20.0,False
48,55.0,False
49,22.0,False
50,26.0,False
51,55.0,False
52,44.0,False
53,46.0,False
54,58.0,False
55,19.0,False
56,55.0,False
57,15.0,False
58,34.0,False
59,62.0,False
60,67.0,False
61,96.0,False
62,24.0,False
63,39.0,False
64,14.0,False
65,22.0,False
66,49.0,False
67,25.0,False
68,22.0,False
69,54.0,False
70,13.0,False
71,42.0,False
72,18.0,False
73,32.0,False
74,45.0,False
75,33.0,False
76,15.0,False
77,12.0,False
78,51.0,False
79,65.0,False
80,47.0,False
81,43.0,False
82,131.0,False
83,33.0,False
84,28.0,False
85,24.0,False
86,58.0,False
87,32.0,False
88,59.0,False
89,22.0,False
90,18.0,False
91,44.0,False
92,14.0,False
93,70.0,False
94,51.0,False
95,46.0,False
96,90.0,False
97,55.0,False
98,72.0,False
99,13.0,False
100,33.0,False
101,61.0,False
102,85.0,False
103,16.0,False
104,70.0,False
105,24.0,False
106,25.0,False
107,24.0,False
108,28.0,False
109,26.0,False
110,62.0,False
111,39.0,False
112,22.0,False
113,28.0,False
114,49.0,False
115,25.0,False
116,22.0,False
117,38.0,False
118,72.0,False
119,60.0,False
120,43.0,False
121,32.0,False
122,38.0,False
123,19.0,False
124,52.0,False
125,53.0,False
126,93.0,False
127,26.0,False
128,77.0,False
129,47.0,False
130,14.0,False
131,56.0,False
132,21.0,False
133,24.0,False
134,16.0,False
135,12.0,False
136,46.0,False
137,121.0,False
138,86.0,False
139,19.0,False
140,27.0,False
141,41.0,False
142,72.0,False
143,15.0,False
144,19.0,False
145,56.0,False
146,31.0,False
147,25.0,False
148,41.0,False
149,27.0,False
150,61.0,False
151,36.0,False
152,12.0,False
153,43.0,False
154,54.0,False
155,19.0,False
156,8.0,False
157,60.0,False
158,18.0,False
159,34.0,False
160,35.0,False
161,25.0,False
162,71.0,False
163,59.0,False
164,49.0,False
165,43.0,False
166,23.0,False
167,65.0,False
168,84.0,False
169,65.0,False
170,47.0,False
171,23.0,False
172,109.0,False
173,39.0,False
174,117.0,False
175,30.0,False
176,50.0,False
177,19.0,False
178,21.0,False
179,33.0,False
180,70.0,False
181,92.0,False
182,13.0,False
183,49.0,False
184,36.0,False
185,20.0,False
186,31.0,False
187,26.0,False
188,49.0,False
189,14.0,False
190,33.0,False
191,47.0,False
192,16.0,False
193,31.0,False
194,32.0,False
195,34.0,False
196,22.0,False
197,84.0,False
198,38.0,False
199,55.0,False
200,58.0,False
201,34.0,False
202,92.0,False
203,14.0,False
204,37.0,False
205,28.0,False
206,66.0,False
207,52.0,False
208,45.0,False
209,26.0,False
210,25.0,False
211,55.0,False
212,46.0,False
213,53.0,False
214,52.0,False
215,53.0,False
216,36.0,False
217,31.0,False
218,87.0,False
219,18.0,False
220,25.0,False
221,53.0,False
222,46.0,False
223,73.0,False
224,28.0,False
225,23.0,False
226,17.0,False
227,26.0,False
228,59.0,False
229,13.0,False
230,55.0,False
231,86.0,False
232,57.0,False
233,173.0,False
234,55.0,False
235,25.0,False
236,69.0,False
237,57.0,False
238,56.0,False
239,29.0,False
240,85.0,False
241,57.0,False
242,49.0,False
243,23.0,False
244,13.0,False
245,37.0,False
246,50.0,False
247,71.0,False
248,109.0,False
249,73.0,False
250,48.0,False
251,53.0,False
252,97.0,False
253,45.0,False
254,165.0,False
255,60.0,False
256,33.0,False
257,33.0,False
258,96.0,False
259,44.0,False
260,34.0,False
261,65.0,False
262,37.0,False
263,39.0,False
264,36.0,False
265,92.0,False
266,76.0,False
267,33.0,False
268,66.0,False
269,65.0,False
270,86.0,False
271,29.0,False
272,140.0,False
273,74.0,False
274,48.0,False
275,41.0,False
276,48.0,False
277,52.0,False
278,75.0,False
279,90.0,False
280,68.0,False
281,18.0,False
282,111.0,False
283,76.0,False
284,93.0,False
285,48.0,False
286,42.0,False
287,77.0,False
288,26.0,False
289,68.0,False
290,79.0,False
291,75.0,False
292,88.0,False
293,21.0,False
294,42.0,False
295,87.0,False
296,84.0,False
297,48.0,False
298,69.0,False
299,95.0,False
300,119.0,False
301,101.0,False
302,65.0,False
303,39.0,False
304,160.0,False
305,96.0,False
306,200.0,True
307,47.0,False
308,20.0,False
309,58.0,False
310,40.0,False
311,58.0,False
312,124.0,False
313,91.0,False
314,80.0,False
315,56.0,False
316,75.0,False
317,54.0,False
318,81.0,False
319,40.0,False
320,86.0,False
321,58.0,False
322,70.0,False
323,46.0,False
324,75.0,False
325,20.0,False
326,83.0,False
327,74.0,False
328,72.0,False
329,97.0,False
330,52.0,False
331,88.0,False
332,147.0,False
333,74.0,False
334,77.0,False
335,39.0,False
336,36.0,False
337,22.0,False
338,134.0,False
339,93.0,False
340,68.0,False
341,52.0,False
342,88.0,False
343,58.0,False
344,104.0,False
345,98.0,False
346,104.0,False
347,44.0,False
348,62.0,False
349,112.0,False
350,48.0,False
351,63.0,False
352,51.0,False
353,38.0,False
354,94.0,False
355,90.0,False
356,80.0,False
357,65.0,False
358,64.0,False
359,53.0,False
360,47.0,False
361,77.0,False
362,44.0,False
363,154.0,False
364,41.0,False
365,73.0,False
366,84.0,False
367,88.0,False
368,63.0,False
369,64.0,False
370,67.0,False
371,80.0,False
372,37.0,False
373,49.0,False
374,63.0,False
375,32.0,False
376,107.0,False
377,77.0,False
378,70.0,False
379,124.0,False
380,30.0,False
381,63.0,False
382,32.0,False
383,140.0,False
384,52.0,False
385,84.0,False
386,84.0,False
387,79.0,False
388,111.0,False
389,55.0,False
390,51.0,False
391,56.0,False
392,95.0,False
393,62.0,False
394,71.0,False
395,91.0,False
396,83.0,False
397,67.0,False
398,67.0,False
399,64.0,False
400,87.0,False
401,57.0,False
402,88.0,False
403,57.0,False
404,37.0,False
405,198.0,False
406,200.0,True
407,82.0,False
408,90.0,False
409,92.0,False
410,84.0,False
411,200.0,True
412,54.0,False
413,85.0,False
414,36.0,False
415,71.0,False
416,71.0,False
417,122.0,False
418,66.0,False
419,80.0,False
420,53.0,False
421,94.0,False
422,91.0,False
423,180.0,False
424,89.0,False
425,200.0,True
426,83.0,False
427,63.0,False
428,112.0,False
429,90.0,False
430,67.0,False
431,135.0,False
432,90.0,False
433,200.0,True
434,174.0,False
435,157.0,False
436,106.0,False
437,55.0,False
438,74.0,False
439,53.0,False
440,70.0,False
441,109.0,False
442,123.0,False
443,148.0,False
444,147.0,False
445,44.0,False
446,199.0,False
447,143.0,False
448,162.0,False
449,145.0,False
450,152.0,False
451,67.0,False
