ep,reward,win
0,29.0,False
1,20.0,False
2,23.0,False
3,10.0,False
4,55.0,False
5,10.0,False
6,40.0,False
7,13.0,False
8,73.0,False
9,81.0,False
10,15.0,False
11,10.0,False
12,12.0,False
13,20.0,False
14,17.0,False
15,16.0,False
16,28.0,False
17,21.0,False
18,16.0,False
19,27.0,False
20,11.0,False
21,15.0,False
22,25.0,False
23,14.0,False
24,18.0,False
25,17.0,False
26,17.0,False
27,9.0,False
28,8.0,False
29,54.0,False
30,11.0,False
31,30.0,False
32,13.0,False
33,11.0,False
34,30.0,False
35,24.0,False
36,19.0,False
37,16.0,False
38,22.0,False
39,13.0,False
40,16.0,False
41,18.0,False
42,26.0,False
43,31.0,False
44,16.0,False
45,31.0,False
46,10.0,False
47,16.0,False
48,10.0,False
49,23.0,False
50,18.0,False
51,26.0,False
52,20.0,False
53,14.0,False
54,33.0,False
55,15.0,False
56,22.0,False
57,10.0,False
58,14.0,False
59,34.0,False
60,36.0,False
61,41.0,False
62,14.0,False
63,23.0,False
64,21.0,False
65,47.0,False
66,24.0,False
67,16.0,False
68,30.0,False
69,14.0,False
70,17.0,False
71,31.0,False
72,24.0,False
73,13.0,False
74,15.0,False
75,10.0,False
76,31.0,False
77,19.0,False
78,21.0,False
79,12.0,False
80,18.0,False
81,22.0,False
82,15.0,False
83,20.0,False
84,18.0,False
85,16.0,False
86,39.0,False
87,18.0,False
88,12.0,False
89,23.0,False
90,13.0,False
91,13.0,False
92,16.0,False
93,14.0,False
94,36.0,False
95,31.0,False
96,12.0,False
97,18.0,False
98,20.0,False
99,20.0,False
100,21.0,False
101,31.0,False
102,14.0,False
103,49.0,False
104,22.0,False
105,25.0,False
106,35.0,False
107,20.0,False
108,15.0,False
109,20.0,False
110,25.0,False
111,25.0,False
112,35.0,False
113,20.0,False
114,15.0,False
115,31.0,False
116,31.0,False
117,16.0,False
118,12.0,False
119,14.0,False
120,22.0,False
121,40.0,False
122,17.0,False
123,56.0,False
124,19.0,False
125,49.0,False
126,17.0,False
127,13.0,False
128,12.0,False
129,13.0,False
130,33.0,False
131,21.0,False
132,13.0,False
133,24.0,False
134,12.0,False
135,17.0,False
136,22.0,False
137,58.0,False
138,19.0,False
139,16.0,False
140,12.0,False
141,11.0,False
142,42.0,False
143,13.0,False
144,11.0,False
145,12.0,False
146,10.0,False
147,27.0,False
148,12.0,False
149,11.0,False
150,25.0,False
151,24.0,False
152,25.0,False
153,9.0,False
154,10.0,False
155,21.0,False
156,22.0,False
157,11.0,False
158,9.0,False
159,31.0,False
160,19.0,False
161,28.0,False
162,11.0,False
163,24.0,False
164,18.0,False
165,19.0,False
166,16.0,False
167,23.0,False
168,26.0,False
169,16.0,False
170,40.0,False
171,9.0,False
172,25.0,False
173,19.0,False
174,56.0,False
175,15.0,False
176,27.0,False
177,15.0,False
178,12.0,False
179,18.0,False
180,29.0,False
181,19.0,False
182,18.0,False
183,11.0,False
184,15.0,False
185,27.0,False
186,15.0,False
187,12.0,False
188,11.0,False
189,13.0,False
190,19.0,False
191,10.0,False
192,14.0,False
193,29.0,False
194,22.0,False
195,22.0,False
196,14.0,False
197,34.0,False
198,15.0,False
199,17.0,False
200,14.0,False
201,22.0,False
202,13.0,False
203,26.0,False
204,14.0,False
205,11.0,False
206,18.0,False
207,15.0,False
208,22.0,False
209,17.0,False
210,49.0,False
211,49.0,False
212,19.0,False
213,34.0,False
214,65.0,False
215,18.0,False
216,16.0,False
217,23.0,False
218,49.0,False
219,10.0,False
220,28.0,False
221,46.0,False
222,45.0,False
223,8.0,False
224,51.0,False
225,11.0,False
226,20.0,False
227,35.0,False
228,14.0,False
229,13.0,False
230,20.0,False
231,12.0,False
232,14.0,False
233,23.0,False
234,19.0,False
235,11.0,False
236,13.0,False
237,29.0,False
238,39.0,False
239,24.0,False
240,12.0,False
241,50.0,False
242,22.0,False
243,27.0,False
244,26.0,False
245,15.0,False
246,21.0,False
247,26.0,False
248,22.0,False
249,30.0,False
250,31.0,False
251,13.0,False
252,25.0,False
253,39.0,False
254,14.0,False
255,16.0,False
256,25.0,False
257,39.0,False
258,12.0,False
259,24.0,False
260,9.0,False
261,15.0,False
262,21.0,False
263,18.0,False
264,50.0,False
265,34.0,False
266,14.0,False
267,14.0,False
268,12.0,False
269,19.0,False
270,15.0,False
271,28.0,False
272,34.0,False
273,22.0,False
274,11.0,False
275,15.0,False
276,12.0,False
277,36.0,False
278,35.0,False
279,22.0,False
280,13.0,False
281,28.0,False
282,20.0,False
283,32.0,False
284,13.0,False
285,15.0,False
286,18.0,False
287,16.0,False
288,22.0,False
289,59.0,False
290,16.0,False
291,70.0,False
292,12.0,False
293,49.0,False
294,27.0,False
295,16.0,False
296,12.0,False
297,10.0,False
298,34.0,False
299,20.0,False
300,15.0,False
301,12.0,False
302,28.0,False
303,19.0,False
304,37.0,False
305,15.0,False
306,20.0,False
307,12.0,False
308,16.0,False
309,25.0,False
310,22.0,False
311,49.0,False
312,21.0,False
313,15.0,False
314,11.0,False
315,22.0,False
316,16.0,False
317,32.0,False
318,53.0,False
319,22.0,False
320,34.0,False
321,15.0,False
322,33.0,False
323,13.0,False
324,33.0,False
325,17.0,False
326,16.0,False
327,24.0,False
328,14.0,False
329,12.0,False
330,20.0,False
331,11.0,False
332,17.0,False
333,18.0,False
334,13.0,False
335,19.0,False
336,26.0,False
337,15.0,False
338,38.0,False
339,30.0,False
340,13.0,False
341,45.0,False
342,12.0,False
343,16.0,False
344,23.0,False
345,20.0,False
346,13.0,False
347,11.0,False
348,26.0,False
349,21.0,False
350,12.0,False
351,43.0,False
352,18.0,False
353,32.0,False
354,29.0,False
355,19.0,False
356,28.0,False
357,10.0,False
